order_id,user_id,product_id,category,price,TotaQuantity,TotalPrice,order_date.1,order_time,order_date.3,country,customer_segment,Year,Month Name,Days in Month,Week of Month,Quarter,Hour
100007,1239,445,Books,31.17,1,31.17,10-Dec-23,08:36:37,PM,United States,Low-Value,2023,December,31,3,4,8
100014,770,368,Books,6.74,1,6.74,08-Jan-22,03:55:43,AM,United States,Low-Value,2022,January,31,2,1,3
100016,1516,145,Books,20.04,1,20.04,28-Jan-25,12:41:06,AM,Brazil,Low-Value,2025,January,31,5,1,12
100021,2325,319,Books,7.07,1,7.07,15-Oct-23,07:18:00,AM,Germany,Low-Value,2023,October,31,3,4,7
100022,1185,477,Toys,32.12,1,32.12,06-Dec-23,05:57:08,PM,India,Low-Value,2023,December,31,2,4,5
100023,460,331,Clothing,44.87,1,44.87,20-Jan-23,12:05:45,PM,India,Low-Value,2023,January,31,3,1,12
100027,2905,104,Home,79.77,1,79.77,12-Oct-22,05:51:05,AM,United States,Low-Value,2022,October,31,3,4,5
100028,475,75,Grocery,16.88,1,16.88,16-May-23,02:12:53,AM,Netherlands,Low-Value,2023,May,31,3,2,2
100033,976,278,Sports,89.26,1,89.26,20-Jan-25,05:49:43,AM,Brazil,Low-Value,2025,January,31,4,1,5
100034,1807,345,Books,24.88,1,24.88,28-Jul-23,08:12:14,AM,France,Low-Value,2023,July,31,5,3,8
100035,190,19,Sports,106.76,1,106.76,13-Aug-23,09:38:38,PM,United States,Low-Value,2023,August,31,3,3,9
100043,2069,13,Grocery,32.46,1,32.46,16-Jul-23,10:36:11,PM,Australia,Low-Value,2023,July,31,4,3,10
100049,2364,156,Grocery,31.64,1,31.64,06-Dec-22,04:39:28,AM,United States,Low-Value,2022,December,31,2,4,4
100050,2062,77,Beauty,55.73,1,55.73,06-Jan-25,12:38:47,AM,Canada,Low-Value,2025,January,31,2,1,12
100051,242,419,Books,20.75,1,20.75,02-Mar-25,05:17:07,PM,Brazil,Low-Value,2025,March,31,2,1,5
100059,1479,456,Clothing,48.35,1,48.35,02-Jul-24,05:56:11,PM,Italy,Low-Value,2024,July,31,1,3,5
100061,776,297,Grocery,29,1,29,18-Jul-22,08:08:56,PM,United States,Low-Value,2022,July,31,4,3,8
100062,35,112,Clothing,106.65,1,106.65,05-Jul-24,02:02:40,PM,China,Low-Value,2024,July,31,1,3,2
100065,1586,96,Books,10.39,1,10.39,21-Oct-24,04:43:14,AM,Canada,Low-Value,2024,October,31,4,4,4
100066,1022,438,Clothing,50.95,1,50.95,14-Jul-25,10:22:41,PM,Spain,Low-Value,2025,July,31,3,3,10
100067,2614,168,Beauty,53.27,1,53.27,31-Jul-24,12:55:15,AM,France,Low-Value,2024,July,31,5,3,12
100071,2450,105,Sports,125.45,1,125.45,31-Dec-23,06:58:42,AM,Germany,Low-Value,2023,December,31,6,4,6
100073,1580,489,Grocery,48.25,1,48.25,26-Aug-23,02:56:35,AM,United States,Low-Value,2023,August,31,4,3,2
100078,2318,382,Clothing,38.65,1,38.65,18-Oct-23,09:50:59,AM,United Kingdom,Low-Value,2023,October,31,3,4,9
100080,456,431,Sports,129.93,1,129.93,24-Aug-23,03:52:38,PM,Germany,Low-Value,2023,August,31,4,3,3
100083,2344,38,Toys,83.46,1,83.46,14-Dec-24,04:09:41,PM,India,Low-Value,2024,December,31,2,4,4
100089,2265,450,Grocery,26.44,1,26.44,21-Mar-22,11:20:03,PM,Brazil,Low-Value,2022,March,31,4,1,11
100090,764,331,Sports,39.41,1,39.41,15-Jan-24,11:43:51,PM,India,Low-Value,2024,January,31,3,1,11
